reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts
learned,601,48,96,7,0.9931640625,0.947265625,0.928466796875,0.914306640625,0.3652167022228241,0.31693199276924133,0.38537412881851196
learned,601,48,96,8,0.9921875,0.999267578125,0.951416015625,0.91845703125,0.40091297030448914,0.33685246109962463,0.4253136217594147
learned,601,48,96,9,0.991943359375,0.94970703125,0.849609375,0.804931640625,0.431453138589859,0.3773064911365509,0.47487181425094604
learned,601,48,96,10,0.99267578125,0.8173828125,0.71435546875,0.687255859375,0.4590891897678375,0.43545714020729065,0.5251247882843018
learned,601,48,96,11,0.995849609375,0.748291015625,0.66552734375,0.651123046875,0.4861631393432617,0.47829002141952515,0.5618550777435303
learned,601,48,96,12,0.994384765625,0.666259765625,0.598876953125,0.592529296875,0.5111210346221924,0.5192896127700806,0.5962203145027161
learned,601,48,96,13,0.990966796875,0.57080078125,0.559814453125,0.55859375,0.5327498912811279,0.5633588433265686,0.6239826679229736
learned,601,48,96,14,0.9921875,0.547119140625,0.5458984375,0.54443359375,0.5533857941627502,0.5878333449363708,0.6418076157569885
learned,601,48,96,15,0.99365234375,0.55078125,0.55029296875,0.5498046875,0.573227047920227,0.6085647344589233,0.6625186800956726
learned,601,48,96,16,0.992431640625,0.5263671875,0.526123046875,0.525146484375,0.5920127034187317,0.6316614747047424,0.6823634505271912
learned,601,48,96,17,0.994140625,0.491455078125,0.490966796875,0.488037109375,0.6089305877685547,0.6573047041893005,0.7042538523674011
learned,601,32,64,2,0.989501953125,0.0,0.0,0.0,0.126268669962883,0.1950133740901947,0.21442477405071259
learned,601,32,64,3,0.98828125,0.0,0.0,0.0,0.18343591690063477,0.31485897302627563,0.2628580331802368
learned,601,32,64,4,0.988037109375,0.0,0.0,0.0,0.2327033132314682,0.4051831066608429,0.3256021738052368
learned,601,32,64,5,0.991455078125,0.0,0.0,0.0,0.2784541845321655,0.4762231707572937,0.3806595206260681
learned,601,32,64,6,0.989013671875,0.058349609375,0.058349609375,0.058349609375,0.31917858123779297,0.5221171975135803,0.4347109794616699
learned,601,32,64,7,0.98974609375,0.482421875,0.47998046875,0.479248046875,0.35551097989082336,0.48751339316368103,0.4786357283592224
learned,601,32,64,8,0.99072265625,0.9111328125,0.899169921875,0.89794921875,0.38935405015945435,0.43942704796791077,0.509833037853241
learned,601,32,64,9,0.9892578125,0.9990234375,0.96142578125,0.95556640625,0.41968461871147156,0.4544719457626343,0.5462052226066589
learned,601,32,64,10,0.99169921875,1.0,0.909423828125,0.903076171875,0.44801411032676697,0.4840351641178131,0.5834527611732483
learned,601,32,64,11,0.990234375,0.988037109375,0.864990234375,0.860107421875,0.4738914668560028,0.5142571330070496,0.6161354184150696
learned,601,32,64,12,0.990234375,0.970947265625,0.82958984375,0.8232421875,0.4981975257396698,0.5421497821807861,0.6454086899757385
learned,601,32,64,13,0.992919921875,0.962646484375,0.80078125,0.79248046875,0.5204980373382568,0.5673887133598328,0.6708368062973022
learned,601,32,64,14,0.994140625,0.796142578125,0.708251953125,0.6962890625,0.5408074259757996,0.6199926137924194,0.701655387878418
learned,601,32,64,15,0.992431640625,0.650146484375,0.635498046875,0.621337890625,0.56085604429245,0.6645694375038147,0.7252993583679199
learned,601,32,64,16,0.993408203125,0.6083984375,0.603759765625,0.588134765625,0.5787195563316345,0.6884440183639526,0.7433703541755676
learned,601,32,64,17,0.992431640625,0.57763671875,0.575927734375,0.546142578125,0.5967514514923096,0.7091425657272339,0.7592962980270386
learned,601,16,32,2,0.965576171875,0.0,0.0,0.0,0.13134042918682098,0.19457772374153137,0.23416151106357574
learned,601,16,32,3,0.96826171875,0.0,0.0,0.0,0.17901328206062317,0.30977863073349,0.3045123517513275
learned,601,16,32,4,0.9736328125,0.0,0.0,0.0,0.22271683812141418,0.3973480761051178,0.3613106906414032
