num_samples,reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_ns1_suppd_wts,adv_ns2_suppd_wts,adv_ns3_suppd_wts,adv_ns1_other_wts,adv_ns2_other_wts,adv_ns3_other_wts
16384,theory,601,16,32,15,1.0,1.0,1.0,1.0,0.19999921321868896,0.6818216443061829,0.6521719098091125,0.0,0.045454539358615875,0.04347825422883034,0.0,0.045454539358615875,0.04347825422883034
16384,theory,601,16,32,16,1.0,1.0,1.0,1.0,0.19999921321868896,0.6956501603126526,0.6666658520698547,0.0,0.04347825422883034,0.0416666604578495,0.0,0.04347825422883034,0.0416666604578495
16384,theory,601,16,32,17,1.0,1.0,1.0,1.0,0.19999921321868896,0.7083346247673035,0.6799952387809753,0.0,0.0416666604578495,0.03999999538064003,0.0,0.0416666604578495,0.03999999538064003
16384,learned,601,64,128,2,0.9945068359375,1.0,0.0,0.0,0.08904088288545609,0.130863219499588,0.2181321382522583,0.021482881158590317,0.2530330419540405,0.07044217735528946,0.02148905023932457,0.2531781792640686,0.07051978260278702
16384,learned,601,64,128,3,0.99365234375,0.99993896484375,0.00738525390625,0.00225830078125,0.12204885482788086,0.21862582862377167,0.34221839904785156,0.020860867574810982,0.2292155623435974,0.0608045794069767,0.020902397111058235,0.22939641773700714,0.05991082638502121
16384,learned,601,64,128,4,0.9942626953125,0.9998779296875,0.331787109375,0.1954345703125,0.15297795832157135,0.2915325164794922,0.39943209290504456,0.020236186683177948,0.2098090499639511,0.10218071937561035,0.020222771912813187,0.21001006662845612,0.05505514517426491
16384,learned,601,64,128,5,0.9937744140625,0.99993896484375,0.880615234375,0.73541259765625,0.18165507912635803,0.35242271423339844,0.40174925327301025,0.019558025524020195,0.19338515400886536,0.17830505967140198,0.019596116617321968,0.19348368048667908,0.05471371114253998
16384,learned,601,64,128,6,0.99407958984375,1.0,0.99468994140625,0.9422607421875,0.20917358994483948,0.4047507047653198,0.4409986436367035,0.01897454634308815,0.17920392751693726,0.18229013681411743,0.018986333161592484,0.17936959862709045,0.05145774036645889
16384,learned,601,64,128,7,0.9947509765625,1.0,0.9991455078125,0.9759521484375,0.2345762550830841,0.44978067278862,0.486083060503006,0.01844564639031887,0.16727490723133087,0.17013978958129883,0.018430255353450775,0.16738207638263702,0.047854308038949966
16384,learned,601,64,128,8,0.99383544921875,1.0,0.999755859375,0.9859619140625,0.25846901535987854,0.4888930022716522,0.5256499648094177,0.01795651763677597,0.1567656695842743,0.15865610539913177,0.01794322580099106,0.15658226609230042,0.04452362656593323
16384,learned,601,64,128,9,0.99542236328125,0.99993896484375,0.99981689453125,0.99383544921875,0.28177735209465027,0.5240486860275269,0.560740053653717,0.01745346561074257,0.1474001407623291,0.14865343272686005,0.017465636134147644,0.14743314683437347,0.041793663054704666
16384,learned,601,64,128,10,0.9952392578125,0.99993896484375,0.99951171875,0.99560546875,0.3034197688102722,0.5547149181365967,0.5911567211151123,0.016991112381219864,0.13914449512958527,0.13980185985565186,0.01700448989868164,0.13919435441493988,0.03932404890656471
16384,learned,601,64,128,11,0.99395751953125,1.0,0.998779296875,0.995849609375,0.32382404804229736,0.5821337103843689,0.6181395053863525,0.016598626971244812,0.13175278902053833,0.13208244740962982,0.016567211598157883,0.1317257285118103,0.03715946897864342
16384,learned,601,64,128,12,0.9957275390625,0.99969482421875,0.993896484375,0.9918212890625,0.3437993824481964,0.6070881485939026,0.642932653427124,0.01614881120622158,0.1250157207250595,0.1247032880783081,0.016201119869947433,0.12514986097812653,0.035302288830280304
16384,learned,601,64,128,13,0.9952392578125,0.9986572265625,0.98468017578125,0.9803466796875,0.3625642955303192,0.6293890476226807,0.6647225022315979,0.015791693702340126,0.11898007988929749,0.11819635331630707,0.01578407920897007,0.1190468892455101,0.03378469496965408
16384,learned,601,64,128,14,0.99560546875,0.99591064453125,0.967529296875,0.96185302734375,0.37965479493141174,0.6499811410903931,0.6845975518226624,0.015410585328936577,0.1132468655705452,0.11189845204353333,0.015386374667286873,0.11344156414270401,0.03284893184900284
16384,learned,601,64,128,15,0.99530029296875,0.9866943359375,0.936279296875,0.92962646484375,0.39609405398368835,0.6692954301834106,0.7027535438537598,0.0150478295981884,0.10774149000644684,0.10614198446273804,0.015006891451776028,0.10826349258422852,0.03278954327106476
16384,learned,601,64,128,16,0.99627685546875,0.97760009765625,0.90362548828125,0.8970947265625,0.4134916663169861,0.6878906488418579,0.7203680872917175,0.01470072753727436,0.10240190476179123,0.10035529732704163,0.014706505462527275,0.10339339822530746,0.032838717103004456
16384,learned,601,64,128,17,0.995849609375,0.96527099609375,0.85614013671875,0.85003662109375,0.42849892377853394,0.7046192288398743,0.735329270362854,0.01435901876538992,0.097194604575634,0.09489645063877106,0.014365981332957745,0.09894661605358124,0.034061603248119354
16384,learned,601,48,96,2,0.9913330078125,0.9998779296875,0.0,0.0,0.09147464483976364,0.15809999406337738,0.2437552809715271,0.01785830594599247,0.23618683218955994,0.06372042745351791,0.017895031720399857,0.23650026321411133,0.06381703168153763
16384,learned,601,48,96,3,0.990234375,0.999755859375,0.06109619140625,0.03057861328125,0.1216646060347557,0.26106929779052734,0.37313979864120483,0.017330065369606018,0.209314227104187,0.0613495409488678,0.017348282039165497,0.20921319723129272,0.05334349721670151
16384,learned,601,48,96,4,0.9912109375,0.999755859375,0.68707275390625,0.54302978515625,0.149874746799469,0.3423326909542084,0.40379613637924194,0.016816485673189163,0.1881013810634613,0.1417871117591858,0.016808239743113518,0.18820029497146606,0.050717178732156754
16384,learned,601,48,96,5,0.99224853515625,1.0,0.97552490234375,0.90576171875,0.17659854888916016,0.40931054949760437,0.44143953919410706,0.01637142337858677,0.17102599143981934,0.16902413964271545,0.016345690935850143,0.17077241837978363,0.04780315235257149
16384,learned,601,48,96,6,0.9910888671875,0.99981689453125,0.99859619140625,0.96917724609375,0.20239506661891937,0.46417146921157837,0.49445581436157227,0.015951063483953476,0.15633051097393036,0.15694954991340637,0.01595161110162735,0.15639837086200714,0.043707627803087234
16384,learned,601,48,96,7,0.99407958984375,1.0,0.9996337890625,0.98248291015625,0.22630850970745087,0.5100383758544922,0.5400847792625427,0.015544862486422062,0.1443846970796585,0.14456042647361755,0.01553579792380333,0.14442399144172668,0.040267135947942734
16384,learned,601,48,96,8,0.99212646484375,0.99993896484375,0.99896240234375,0.9921875,0.2492614984512329,0.5507566928863525,0.5806816816329956,0.015141861513257027,0.13378196954727173,0.1334005445241928,0.015127966180443764,0.13374382257461548,0.03713678568601608
16384,learned,601,48,96,9,0.99267578125,1.0,0.99639892578125,0.9923095703125,0.2710736095905304,0.5844234228134155,0.6141108274459839,0.014775536954402924,0.12507249414920807,0.12427713721990585,0.014720494858920574,0.12516473233699799,0.03471545875072479
16384,learned,601,48,96,10,0.99310302734375,1.0,0.98297119140625,0.97674560546875,0.2914389669895172,0.6146283149719238,0.6446971893310547,0.014384288340806961,0.11740581691265106,0.11543998122215271,0.014381606131792068,0.11726855486631393,0.032443419098854065
16384,learned,601,48,96,11,0.99298095703125,0.9998779296875,0.951904296875,0.9437255859375,0.31132471561431885,0.6409401297569275,0.6725949048995972,0.014046939089894295,0.11042970418930054,0.10620198398828506,0.014069362543523312,0.11035662144422531,0.030694827437400818
16384,learned,601,48,96,12,0.99285888671875,1.0,0.90423583984375,0.892333984375,0.33017757534980774,0.6645272374153137,0.698651909828186,0.013700371608138084,0.10424065589904785,0.0969592034816742,0.013725880533456802,0.10428222268819809,0.029393604025244713
16384,learned,601,48,96,13,0.9942626953125,1.0,0.83172607421875,0.8187255859375,0.3476017713546753,0.686014711856842,0.7234699130058289,0.013400690630078316,0.09859812259674072,0.08718585222959518,0.013410462066531181,0.09860895574092865,0.02884591370820999
16384,learned,601,48,96,14,0.99224853515625,0.9996337890625,0.75958251953125,0.748046875,0.36513763666152954,0.7050238251686096,0.7455942630767822,0.013120662420988083,0.09376260638237,0.07870370149612427,0.013109670951962471,0.09378339350223541,0.029229624196887016
16384,learned,601,48,96,15,0.99310302734375,0.99786376953125,0.68353271484375,0.675048828125,0.3808431327342987,0.7223795056343079,0.7655490040779114,0.012842531315982342,0.08904699236154556,0.07081212848424911,0.012854545377194881,0.08925223350524902,0.030277449637651443
16384,learned,601,48,96,16,0.99383544921875,0.992919921875,0.6068115234375,0.60107421875,0.39705002307891846,0.7383869290351868,0.7822107076644897,0.012564914301037788,0.08473724126815796,0.06463158130645752,0.012542256154119968,0.08499187976121902,0.03222556784749031
16384,learned,601,48,96,17,0.9947509765625,0.98114013671875,0.54852294921875,0.5450439453125,0.4122464656829834,0.7530632615089417,0.795382559299469,0.012327595613896847,0.08055330812931061,0.06050314009189606,0.012327112257480621,0.08120211958885193,0.034401826560497284
16384,learned,601,32,64,2,0.9876708984375,0.9998779296875,0.0,0.0,0.0925879180431366,0.17426365613937378,0.2571324408054352,0.016306718811392784,0.2233634889125824,0.059855930507183075,0.01636321097612381,0.22378934919834137,0.06002124026417732
16384,learned,601,32,64,3,0.98748779296875,1.0,0.034912109375,0.01995849609375,0.1218940019607544,0.2847451865673065,0.3915920555591583,0.01587751880288124,0.19589763879776,0.053743474185466766,0.015910327434539795,0.1958867758512497,0.049721211194992065
16384,learned,601,32,64,4,0.98883056640625,0.99981689453125,0.77093505859375,0.70263671875,0.1495039165019989,0.3708077073097229,0.42405208945274353,0.0154643589630723,0.1743796169757843,0.1399928778409958,0.015438043512403965,0.17433640360832214,0.04735790938138962
16384,learned,601,32,64,5,0.98870849609375,0.9998779296875,0.99224853515625,0.9571533203125,0.1754002869129181,0.4390217661857605,0.47237899899482727,0.014957638457417488,0.1568422019481659,0.1530713140964508,0.015021992847323418,0.15680502355098724,0.04365095496177673
16384,learned,601,32,64,6,0.98687744140625,0.9998779296875,0.99871826171875,0.9786376953125,0.2004016786813736,0.49541521072387695,0.5280861258506775,0.014641433022916317,0.1424863040447235,0.139043390750885,0.014605174772441387,0.14259189367294312,0.03949783369898796
16384,learned,601,32,64,7,0.98919677734375,1.0,0.99920654296875,0.9888916015625,0.22386516630649567,0.5425230860710144,0.5749324560165405,0.014271055348217487,0.1306820511817932,0.1269582211971283,0.014237253926694393,0.13079629838466644,0.036047741770744324
16384,learned,601,32,64,8,0.98919677734375,1.0,0.99981689453125,0.99432373046875,0.24615289270877838,0.5821375250816345,0.6141752004623413,0.013894734904170036,0.12077757716178894,0.11688578873872757,0.013920828700065613,0.12080877274274826,0.03318788856267929
16384,learned,601,32,64,9,0.9898681640625,0.999755859375,0.99951171875,0.996826171875,0.2674188017845154,0.616461455821991,0.6476993560791016,0.01354781910777092,0.11209110915660858,0.10818091779947281,0.013516741804778576,0.11217357218265533,0.030718164518475533
16384,learned,601,32,64,10,0.99066162109375,1.0,0.99920654296875,0.9979248046875,0.2879082262516022,0.6460382342338562,0.6767110824584961,0.01323030237108469,0.10465499758720398,0.10059969872236252,0.013230228796601295,0.10469800233840942,0.028562288731336594
16384,learned,601,32,64,11,0.99114990234375,1.0,0.9964599609375,0.99566650390625,0.3072814643383026,0.671630859375,0.7012949585914612,0.012954400852322578,0.09820904582738876,0.09427785873413086,0.012929064221680164,0.09832834452390671,0.026976002380251884
16384,learned,601,32,64,12,0.99151611328125,1.0,0.98455810546875,0.98419189453125,0.3260384798049927,0.6946920156478882,0.7234436869621277,0.012693051248788834,0.0925789549946785,0.08861114829778671,0.012684224173426628,0.0924968272447586,0.025970429182052612
16384,learned,601,32,64,13,0.9918212890625,1.0,0.9541015625,0.953857421875,0.34338629245758057,0.7149438261985779,0.74195796251297,0.012372981756925583,0.08737888187170029,0.08362942934036255,0.012391957454383373,0.08747026324272156,0.02626468986272812
16384,learned,601,32,64,14,0.990966796875,1.0,0.90093994140625,0.90081787109375,0.36039307713508606,0.733170747756958,0.7583419680595398,0.012092284858226776,0.08276180922985077,0.07916251569986343,0.012106850743293762,0.08283422142267227,0.02771170064806938
16384,learned,601,32,64,15,0.9932861328125,1.0,0.81475830078125,0.81463623046875,0.3767392933368683,0.7497633099555969,0.7723941802978516,0.01184228714555502,0.0786537304520607,0.07520857453346252,0.011881118640303612,0.07875444740056992,0.030845563858747482
16384,learned,601,32,64,16,0.992919921875,0.99993896484375,0.71923828125,0.71905517578125,0.3922775685787201,0.764277458190918,0.7844964265823364,0.011610927991569042,0.0749516561627388,0.0714084804058075,0.01159719005227089,0.07490583509206772,0.03407325968146324
16384,learned,601,32,64,17,0.99371337890625,1.0,0.6102294921875,0.6102294921875,0.40711072087287903,0.7780129313468933,0.7956287264823914,0.01137821190059185,0.0715140849351883,0.06794025748968124,0.011363433673977852,0.07158087939023972,0.037937089800834656
16384,learned,601,16,32,2,0.96783447265625,0.99932861328125,0.00286865234375,0.00048828125,0.10658645629882812,0.17420707643032074,0.2511180639266968,0.0144987553358078,0.2083100825548172,0.05900324136018753,0.01449548825621605,0.20843477547168732,0.05882053077220917
16384,learned,601,16,32,3,0.9700927734375,0.99957275390625,0.0601806640625,0.03369140625,0.1338234543800354,0.2785508930683136,0.3763023912906647,0.01411958783864975,0.18413269519805908,0.05560721084475517,0.014086965471506119,0.18371067941188812,0.04963158816099167
