num_samples,reasoner_type,train_seed,num_vars,embed_dim,num_attack_tokens,raw_state_acc,adv_ns1_state_acc,adv_ns2_state_acc,adv_ns3_state_acc,adv_ns1_atk_wts,adv_ns2_atk_wts,adv_ns3_atk_wts,adv_ns1_atk_wts_std,adv_ns2_atk_wts_std,adv_ns3_atk_wts_std
16384,learned,601,48,96,12,0.9964599609375,0.6722412109375,0.59906005859375,0.590576171875,0.04230682551860809,0.04296638071537018,0.04934465140104294,0.004521207418292761,0.012845231220126152,0.012422602623701096
16384,learned,601,48,96,13,0.9965617060661316,0.56207275390625,0.548828125,0.5477294921875,0.04077206179499626,0.04322981834411621,0.04781295731663704,0.004204501863569021,0.012777269817888737,0.011510489508509636
16384,learned,601,48,96,14,0.9973348379135132,0.54150390625,0.540771484375,0.5400390625,0.03937127813696861,0.041952040046453476,0.0458625927567482,0.003909057937562466,0.011915059760212898,0.010569264180958271
16384,learned,601,48,96,15,0.99700927734375,0.5399169921875,0.53961181640625,0.53826904296875,0.03804497793316841,0.040562838315963745,0.0440693199634552,0.003667761804535985,0.011061890982091427,0.009763302281498909
16384,learned,601,48,96,16,0.9972941279411316,0.529541015625,0.5291748046875,0.526611328125,0.036801572889089584,0.03924353048205376,0.042436543852090836,0.0034341178834438324,0.01033817045390606,0.009072491899132729
16384,learned,601,48,96,17,0.9972127676010132,0.5191650390625,0.51885986328125,0.51531982421875,0.03567240387201309,0.038104765117168427,0.04090839996933937,0.0032496782951056957,0.00969100184738636,0.00845944881439209
16384,learned,601,32,64,2,0.99407958984375,0.0,0.0,0.0,0.06281363219022751,0.09636475890874863,0.10645664483308792,0.007824948988854885,0.0749903991818428,0.06353279203176498
16384,learned,601,32,64,3,0.9945272207260132,0.0,0.0,0.0,0.060685351490974426,0.10408463329076767,0.08667438477277756,0.0070374393835663795,0.06090744212269783,0.009406156837940216
16384,learned,601,32,64,4,0.99481201171875,0.0,0.0,0.0,0.0580897182226181,0.10065722465515137,0.08061479032039642,0.006251885090023279,0.04913734644651413,0.008203585632145405
16384,learned,601,32,64,5,0.9936727285385132,0.0,0.0,0.0,0.05541510134935379,0.09465648233890533,0.07535658031702042,0.00555762555450201,0.04041769355535507,0.007439748849719763
16384,learned,601,32,64,6,0.9947103261947632,0.05157470703125,0.05133056640625,0.05133056640625,0.05295491963624954,0.08687268197536469,0.07176858186721802,0.005045052617788315,0.033796653151512146,0.011010914109647274
16384,learned,601,32,64,7,0.9954020380973816,0.475341796875,0.4735107421875,0.47308349609375,0.0506289042532444,0.0694090723991394,0.06782188266515732,0.004564739763736725,0.0255819633603096,0.010031440295279026
16384,learned,601,32,64,8,0.9951578974723816,0.8978271484375,0.88531494140625,0.8828125,0.04840811342000961,0.05486565828323364,0.06319339573383331,0.004099987912923098,0.012498792260885239,0.005766118410974741
16384,learned,601,32,64,9,0.9949951171875,0.99859619140625,0.95562744140625,0.94970703125,0.046449191868305206,0.0501263365149498,0.060306861996650696,0.0037780359853059053,0.00589028699323535,0.006823636591434479
16384,learned,601,32,64,10,0.9956868886947632,0.9996337890625,0.91131591796875,0.90411376953125,0.04461349546909332,0.04814223572611809,0.057933300733566284,0.003479837207123637,0.0053078122437000275,0.007751078810542822
16384,learned,601,32,64,11,0.99609375,0.9891357421875,0.86163330078125,0.8555908203125,0.042909879237413406,0.04639744386076927,0.055715855211019516,0.0032202331349253654,0.005456265062093735,0.008166293613612652
16384,learned,601,32,64,12,0.99560546875,0.9698486328125,0.8212890625,0.81500244140625,0.04131508618593216,0.04498341679573059,0.05356431007385254,0.0029898411594331264,0.005798911210149527,0.008065641857683659
16384,learned,601,32,64,13,0.9957072138786316,0.96209716796875,0.78936767578125,0.78033447265625,0.03984619304537773,0.04338634014129639,0.051418691873550415,0.002800669288262725,0.005574292503297329,0.0077956076711416245
16384,learned,601,32,64,14,0.99615478515625,0.79486083984375,0.706787109375,0.69464111328125,0.03849932178854942,0.04401924088597298,0.04979971796274185,0.0026208499912172556,0.008644991554319859,0.00812915526330471
